,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Tyrese Maxey,PHI,25,$58 ,32,26,2232.9,1690,588,1273,46.2,195,519,37.6,319,358,89.1,18,221,239,394,141,118,46,129,2919,7,0,124
2,Shai Gilgeous-Alexander,OKC,27,$51 ,40,11,1697,1621,557,1012,55,88,231,38.1,419,469,89.3,27,198,225,328,107,70,40,103,2606,5,0,579
3,Donovan Mitchell,CLE,29,$55 ,35,20,1840.1,1570,546,1131,48.3,191,517,36.9,287,337,85.2,41,206,247,320,170,86,15,132,2479,4,0,357
4,Jaylen Brown,BOS,29,$54 ,35,19,1850.3,1568,579,1201,48.2,112,321,34.9,298,383,77.8,59,326,385,269,194,54,24,148,2474,12,3,188
5,Luka Don?i?,LAL,27,$48 ,30,18,1698.1,1559,496,1048,47.3,177,491,36,390,505,77.2,34,334,368,414,191,68,24,116,2707,27,6,68
6,Anthony Edwards,MIN,24,$51 ,32,19,1817.4,1502,522,1059,49.3,173,435,39.8,285,363,78.5,33,232,265,190,144,69,42,92,2294,2,0,165
7,Kevin Durant,HOU,37,$57 ,35,22,2085,1497,525,1029,51,135,337,40.1,312,350,89.1,32,278,310,258,181,46,51,113,2366,6,0,305
8,Jalen Brunson,NYK,29,$56 ,38,18,1936.7,1494,530,1127,47,161,424,38,273,324,84.3,26,166,192,342,127,38,7,135,2245,6,0,267
9,Jamal Murray,DEN,29,$57 ,34,23,2005.4,1463,509,1051,48.4,184,429,42.9,261,297,87.9,23,227,250,415,138,56,21,91,2479,15,0,264
10,Cade Cunningham,DET,24,$53 ,40,13,1855.6,1350,478,1039,46,105,316,33.2,289,357,81,50,258,308,519,199,80,50,167,2689,33,3,433
11,Nikola Joki?,DEN,31,$46 ,28,18,1590,1318,464,814,57,89,222,40.1,301,364,82.7,143,437,580,476,169,62,36,126,2853,40,22,406
12,Julius Randle,MIN,31,$61 ,38,23,2036.5,1313,458,947,48.4,90,283,31.8,307,375,81.9,101,317,418,327,158,66,16,174,2393,14,3,224
13,Kawhi Leonard,LAC,34,$46 ,25,21,1498.9,1280,447,902,49.6,121,320,37.8,265,293,90.4,47,244,291,172,101,92,23,57,2131,5,0,164
14,James Harden,CLE,36,$52 ,28,24,1820.8,1272,371,867,42.8,159,437,36.4,371,416,89.2,33,220,253,422,190,63,21,105,2271,16,2,61
15,Brandon Ingram,TOR,28,$58 ,34,24,1973.2,1268,473,1001,47.3,104,281,37,218,263,82.9,47,289,336,221,144,44,45,114,2126,2,0,54
16,Jalen Johnson,ATL,24,$55 ,29,26,1931.6,1251,463,940,49.3,85,250,34,240,308,77.9,82,499,581,437,186,72,27,120,2715,38,11,36
17,Pascal Siakam,IND,31,$52 ,14,38,1752.3,1241,467,966,48.3,95,255,37.3,212,311,68.2,80,271,351,204,116,57,23,127,2092,9,0,-157
18,Desmond Bane,ORL,27,$59 ,31,28,2016.5,1196,433,895,48.4,123,315,39,207,227,91.2,74,172,246,244,123,58,29,182,1995,1,0,67
19,Keyonte George,UTA,22,$50 ,15,35,1682.3,1194,376,815,46.1,125,335,37.3,317,356,89,23,168,191,319,162,56,14,115,1950,4,0,-330
20,Michael Porter Jr.,BKN,27,$48 ,13,35,1564.7,1174,415,878,47.3,165,440,37.5,179,209,85.6,62,274,336,150,114,50,11,105,1871,10,0,-171
21,Deni Avdija,POR,25,$48 ,23,25,1607.9,1173,359,775,46.3,102,299,34.1,353,441,80,53,285,338,318,184,38,28,126,2070,15,3,-52
